Price ($),Carat,Cut,Color,Clarity,Price/Ct
1040,0.76,Super Ideal,D,VVS2,1368
1030,0.87,Super Ideal,E,VVS2,1183
920,0.83,Super Ideal,F,VS1,1108
810,0.7,Super Ideal,E,VS1,1157
900,0.74,Super Ideal,F,VVS2,1216
970,0.76,Ideal,D,VS1,1276
1210,0.83,Super Ideal,D,VVS1,1457
930,0.89,Ideal,G,VS1,1044
630,0.7,Super Ideal,H,SI2,900
630,0.7,Super Ideal,I,SI1,900
630,0.7,Very Good,J,VS2,900
630,0.7,Very Good,I,SI1,900
630,0.7,Ideal,H,SI1,900
630,0.7,Super Ideal,I,SI1,900
630,0.7,Super Ideal,J,VS2,900
630,0.7,Super Ideal,J,VS2,900
640,0.7,Super Ideal,I,VS2,914
640,0.7,Super Ideal,H,SI1,914
640,0.71,Very Good,H,SI1,901
640,0.7,Super Ideal,G,SI2,914
640,0.7,Super Ideal,H,SI1,914
640,0.7,Ideal,G,SI2,914
640,0.71,Very Good,H,SI1,901
640,0.7,Very Good,J,VS1,914
650,0.7,Super Ideal,J,VVS2,928
650,0.71,Very Good,I,VS2,915
650,0.7,Ideal,E,SI2,928
650,0.7,Super Ideal,H,VS2,928
650,0.7,Super Ideal,G,SI1,928
650,0.7,Ideal,G,SI1,928
650,0.7,Good,I,SI1,928
650,0.7,Super Ideal,I,VS1,928
650,0.7,Ideal,H,VS2,928
650,0.7,Ideal,H,VS2,928
650,0.73,Super Ideal,H,SI2,890
650,0.7,Super Ideal,H,VS2,928
650,0.7,Super Ideal,H,VS2,928
650,0.74,Ideal,I,SI2,878
650,0.71,Super Ideal,I,VS2,915
650,0.71,Super Ideal,J,VS1,915
650,0.71,Ideal,J,VS1,915
650,0.7,Super Ideal,G,SI1,928
650,0.71,Ideal,G,SI2,915
650,0.7,Super Ideal,H,VS2,928
650,0.7,Super Ideal,H,VS2,928
650,0.71,Super Ideal,I,VS2,915
650,0.7,Super Ideal,G,SI1,928
650,0.7,Super Ideal,G,SI1,928
650,0.7,Super Ideal,H,VS2,928
650,0.7,Super Ideal,H,VS2,928
650,0.71,Super Ideal,I,VS2,915
