Price ($),Carat,Cut,Color,Clarity,Price/Ct
1010,0.72,Super Ideal,D,VVS2,1402
1010,0.83,Super Ideal,E,VVS2,1216
790,0.71,Super Ideal,F,VS1,1112
950,0.82,Ideal,E,VS1,1158
930,0.82,Super Ideal,F,VVS2,1134
1000,0.78,Super Ideal,D,VS1,1282
1050,0.72,Super Ideal,D,VVS1,1458
900,0.87,Super Ideal,G,VS1,1034
590,0.71,Very Good,J,SI1,830
630,0.7,Very Good,H,SI1,900
630,0.7,Super Ideal,J,VS2,900
630,0.7,Very Good,I,SI1,900
630,0.7,Ideal,H,SI2,900
630,0.7,Very Good,H,SI1,900
640,0.72,Very Good,J,VS2,888
640,0.72,Very Good,J,VS2,888
640,0.71,Ideal,H,SI1,901
640,0.71,Ideal,I,SI1,901
640,0.7,Very Good,I,VS2,914
650,0.71,Very Good,J,VS1,915
650,0.71,Very Good,I,VS2,915
650,0.7,Ideal,E,SI2,928
650,0.7,Very Good,F,SI2,928
650,0.7,Very Good,H,VS2,928
650,0.7,Very Good,H,VS2,928
650,0.71,Ideal,J,VS1,915
650,0.7,Super Ideal,G,SI1,928
650,0.7,Ideal,F,SI2,928
650,0.7,Very Good,H,VS2,928
650,0.71,Good,I,VS2,915
650,0.71,Super Ideal,J,VS1,915
650,0.7,Ideal,H,VS2,928
650,0.7,Super Ideal,J,VVS2,928
650,0.73,Very Good,J,VS2,890
650,0.7,Super Ideal,G,SI1,928
650,0.7,Ideal,F,SI2,928
650,0.7,Super Ideal,I,VS1,928
650,0.7,Very Good,H,VS2,928
660,0.72,Very Good,J,VS1,916
660,0.7,Very Good,F,SI1,942
660,0.7,Very Good,F,SI1,942
660,0.71,Very Good,F,SI2,929
660,0.7,Very Good,H,VS1,942
660,0.71,Very Good,H,VS2,929
660,0.71,Very Good,H,VS2,929
660,0.7,Ideal,H,VS1,942
660,0.7,Super Ideal,H,VS1,942
660,0.71,Ideal,I,VS1,929
660,0.74,Very Good,I,SI1,891
660,0.72,Very Good,I,VS2,916
660,0.7,Very Good,H,VS1,942
660,0.7,Very Good,H,VS1,942
660,0.7,Very Good,H,VS1,942
660,0.72,Ideal,I,VS2,916
660,0.71,Very Good,I,VS1,929
660,0.72,Super Ideal,H,SI1,916
660,0.7,Very Good,F,SI1,942
660,0.7,Very Good,F,SI1,942
660,0.7,Very Good,F,SI1,942
660,0.7,Very Good,F,SI1,942
660,0.71,Very Good,F,SI2,929
660,0.73,Very Good,H,SI1,904
660,0.71,Very Good,H,VS2,929
660,0.71,Ideal,H,VS2,929
660,0.7,Ideal,F,SI1,942
660,0.7,Super Ideal,F,SI1,942
660,0.7,Very Good,F,SI1,942
660,0.72,Ideal,I,VS2,916
660,0.73,Very Good,H,SI1,904
660,0.7,Very Good,H,VS1,942
670,0.7,Ideal,E,SI1,957
670,0.71,Very Good,F,SI1,943
670,0.73,Very Good,F,SI2,917
670,0.71,Very Good,H,VS1,943
670,0.73,Very Good,I,VS1,917
670,0.7,Very Good,I,VVS2,957
670,0.71,Ideal,H,VS1,943
670,0.73,Very Good,J,VS1,917
670,0.71,Good,F,SI1,943
670,0.71,Very Good,F,SI1,943
670,0.72,Ideal,E,SI2,930
670,0.71,Very Good,F,SI1,943
670,0.74,Very Good,H,SI1,905
670,0.7,Very Good,H,VS2,957
670,0.7,Very Good,H,VS2,957
670,0.72,Very Good,I,VS1,930
670,0.7,Very Good,I,VVS2,957
670,0.7,Ideal,E,SI1,957
670,0.7,Very Good,E,SI2,957
670,0.7,Super Ideal,E,SI1,957
670,0.71,Ideal,F,SI1,943
670,0.73,Good,J,VS1,917
670,0.73,Very Good,G,SI1,917
670,0.71,Very Good,F,SI1,943
670,0.7,Very Good,H,VS2,957
670,0.7,Super Ideal,E,SI1,957
670,0.72,Ideal,H,VS2,930
670,0.73,Ideal,H,VS2,917
670,0.72,Very Good,I,VS1,930
670,0.73,Very Good,I,VS2,917
670,0.7,Very Good,I,VVS2,957
670,0.72,Super Ideal,J,VVS2,930
680,0.71,Super Ideal,G,VS2,957
680,0.72,Very Good,H,VS1,944
680,0.71,Very Good,G,VS2,957
680,0.7,Very Good,I,VVS1,971
680,0.72,Ideal,H,VS2,944
680,0.72,Ideal,H,VS1,944
680,0.72,Very Good,H,VS1,944
680,0.74,Ideal,J,VS1,918
680,0.7,Super Ideal,I,VVS1,971
680,0.72,Very Good,I,VVS2,944
680,0.71,Ideal,E,SI1,957
680,0.71,Super Ideal,F,SI1,957
680,0.74,Ideal,H,VS2,918
680,0.7,Ideal,G,VS2,971
680,0.71,Good,I,VVS2,957
680,0.76,Ideal,I,SI1,894
680,0.76,Ideal,J,VS2,894
680,0.72,Super Ideal,I,VVS2,944
680,0.74,Very Good,I,VS1,918
680,0.74,Very Good,I,VS2,918
680,0.71,Ideal,I,VVS2,957
680,0.71,Ideal,G,VS2,957
680,0.72,Super Ideal,H,VS1,944
680,0.75,Very Good,H,SI1,906
680,0.71,Ideal,E,SI1,957
680,0.74,Good,G,SI1,918
680,0.71,Very Good,G,VS2,957
680,0.73,Super Ideal,I,VS2,931
680,0.74,Very Good,I,VS1,918
680,0.74,Very Good,I,VS1,918
680,0.74,Ideal,J,VS1,918
680,0.74,Very Good,J,VS1,918
690,0.72,Ideal,E,SI1,958
690,0.76,Very Good,H,SI1,907
690,0.73,Very Good,I,VVS2,945
690,0.73,Very Good,I,VVS2,945
690,0.73,Very Good,I,VVS2,945
690,0.73,Ideal,F,SI1,945
690,0.73,Very Good,I,VVS2,945
690,0.73,Very Good,I,VVS2,945
690,0.7,Ideal,G,VS2,985
690,0.73,Ideal,H,VS1,945
690,0.75,Very Good,H,VS2,920
690,0.75,Very Good,H,VS2,920
690,0.74,Super Ideal,E,SI2,932
690,0.7,Very Good,D,SI2,985
690,0.72,Super Ideal,G,VS2,958
690,0.71,Ideal,G,SI1,971
690,0.7,Very Good,G,VS2,985
690,0.73,Ideal,I,VS2,945
690,0.71,Very Good,I,VVS1,971
700,0.73,Super Ideal,E,SI1,958
700,0.76,Ideal,F,SI2,921
700,0.76,Super Ideal,G,SI1,921
700,0.73,Very Good,G,VS2,958
700,0.73,Very Good,G,VS2,958
710,0.72,Super Ideal,G,VS2,986
710,0.72,Ideal,G,VS2,986
710,0.7,Ideal,I,VS1,1014
710,0.75,Very Good,I,VVS2,946
710,0.74,Super Ideal,J,VVS2,959
710,0.75,Ideal,F,SI1,946
720,0.76,Ideal,F,SI1,947
720,0.76,Very Good,H,VS1,947
720,0.78,Very Good,I,VS1,923
720,0.74,Very Good,I,VVS1,972
720,0.71,Ideal,I,VVS2,1014
720,0.76,Very Good,I,VVS2,947
720,0.7,Ideal,H,VS1,1028
720,0.78,Very Good,H,VS2,923
720,0.71,Ideal,I,VS1,1014
720,0.76,Very Good,I,VVS2,947
720,0.75,Super Ideal,E,SI1,960
720,0.76,Very Good,H,VS1,947
720,0.7,Good,I,VS2,1028
720,0.72,Super Ideal,E,SI1,1000
720,0.72,Very Good,E,SI1,1000
720,0.71,Super Ideal,I,VVS2,1014
720,0.77,Ideal,J,VS1,935
720,0.75,Very Good,J,VVS1,960
720,0.76,Ideal,H,VS1,947
720,0.7,Super Ideal,H,VS1,1028
720,0.71,Ideal,I,VVS2,1014
730,0.72,Super Ideal,E,SI1,1013
730,0.78,Ideal,I,VS2,935
730,0.75,Ideal,H,VVS2,973
730,0.7,Ideal,F,SI1,1042
730,0.75,Good,I,VS1,973
730,0.72,Ideal,I,VS1,1013
730,0.72,Ideal,I,VVS2,1013
730,0.76,Very Good,G,SI1,960
730,0.77,Very Good,F,SI1,948
730,0.8,Very Good,H,VS2,912
730,0.77,Ideal,H,VS2,948
730,0.73,Very Good,H,VVS2,1000
730,0.73,Very Good,H,VVS2,1000
730,0.82,Very Good,H,SI2,890
730,0.77,Good,I,VVS2,948
730,0.71,Ideal,F,SI1,1028
730,0.72,Very Good,H,VS1,1013
730,0.8,Very Good,J,VS1,912
740,0.83,Very Good,H,SI2,891
740,0.8,Very Good,H,VS2,925
740,0.8,Very Good,I,VS1,925
740,0.7,Ideal,E,SI1,1057
740,0.78,Very Good,H,VS1,948
740,0.7,Ideal,G,VS1,1057
740,0.73,Super Ideal,I,VVS2,1013
740,0.74,Very Good,H,VVS2,1000
740,0.73,Ideal,H,VVS2,1013
740,0.78,Super Ideal,H,VS2,948
740,0.7,Ideal,J,SI1,1057
740,0.76,Very Good,F,SI1,973
740,0.77,Super Ideal,E,SI1,961
740,0.77,Good,G,SI1,961
740,0.74,Very Good,H,VVS2,1000
