Price ($),Carat,Cut,Color,Clarity,Price/Ct
1030,0.76,Ideal,D,VVS2,1355
890,0.75,Super Ideal,E,VVS2,1186
830,0.7,Super Ideal,F,VS1,1185
960,0.75,Ideal,E,VS1,1280
1140,0.89,Very Good,D,VS1,1280
1330,0.81,Ideal,G,VVS2,1641
1080,0.88,Ideal,D,VS2,1227
1350,0.84,Ideal,H,VS1,1607
690,0.74,Very Good,G,SI1,932
690,0.7,Very Good,G,VS2,985
760,0.72,Very Good,G,VS1,1055
760,0.7,Ideal,F,VS2,1085
770,0.73,Very Good,G,VS1,1054
780,0.78,Ideal,G,VS2,1000
780,0.78,Super Ideal,H,VVS2,1000
790,0.71,Ideal,E,VS2,1112
800,0.71,Very Good,F,VS1,1126
800,0.83,Ideal,E,SI1,963
800,0.71,Very Good,F,VS1,1126
810,0.72,Very Good,F,VS1,1125
820,0.73,Very Good,F,VS1,1123
820,0.7,Very Good,E,VS1,1171
820,0.77,Ideal,G,VS1,1064
820,0.76,Very Good,G,VVS2,1078
830,0.71,Ideal,E,VS1,1169
840,0.71,Very Good,E,VS2,1183
850,0.7,Ideal,E,VVS2,1214
850,0.79,Ideal,G,VS1,1075
860,0.73,Good,E,VS2,1178
870,0.72,Ideal,F,VVS2,1208
870,0.74,Good,E,VS2,1175
880,0.76,Very Good,E,VS1,1157
890,0.72,Very Good,F,VS1,1236
900,0.7,Ideal,D,VS1,1285
900,0.71,Ideal,E,VS1,1267
900,0.74,Ideal,E,VVS2,1216
900,0.77,Very Good,E,VS2,1168
900,0.77,Ideal,E,VS2,1168
900,0.76,Ideal,E,VVS2,1184
910,0.74,Super Ideal,D,VS2,1229
910,0.71,Ideal,D,VS1,1281
910,0.86,Very Good,E,SI1,1058
920,0.71,Very Good,D,VS2,1295
920,0.72,Ideal,D,VS2,1277
920,0.79,Super Ideal,E,VS2,1164
920,0.73,Ideal,E,VS1,1260
930,0.7,Very Good,D,VS1,1328
930,0.73,Ideal,D,VS1,1273
